Date,SecurityInBan
2010-11-11,KSOILS
2010-11-11,KFA
2010-11-11,ORCHIDCHEM
2010-11-11,RELMEDIA
2010-11-11,POWERGRID
2010-11-11,COREPROTEC
2010-11-12,KFA
2010-11-12,POWERGRID
2010-11-12,ORCHIDCHEM
2010-11-12,ESSAROIL
2010-11-12,RELMEDIA
2010-11-12,COREPROTEC
2010-11-15,COREPROTEC
2010-11-15,POWERGRID
2010-11-15,NAGARFERT
2010-11-16,COREPROTEC
2010-11-16,POWERGRID
2010-11-16,ORCHIDCHEM
2010-11-16,NAGARFERT
2010-11-18,POWERGRID
2010-11-18,ORCHIDCHEM
2010-11-18,COREPROTEC
2010-11-19,ABAN
2010-11-19,COREPROTEC
2010-11-19,ISPATIND
2010-11-19,POWERGRID
2010-11-22,POWERGRID
2010-11-22,ISPATIND
2010-11-22,COREPROTEC
2010-11-22,ABAN
2010-11-23,POWERGRID
2010-11-23,ABAN
2010-11-23,COREPROTEC
2010-11-23,KFA
2010-11-23,ISPATIND
2010-11-24,ISPATIND
2010-11-24,KFA
2010-11-24,COREPROTEC
2010-11-24,ORCHIDCHEM
2010-11-25,ORCHIDCHEM
2010-11-25,KFA
2010-11-25,ISPATIND
2010-11-25,COREPROTEC
2010-11-26,COREPROTEC
2010-11-26,ORCHIDCHEM
2010-11-30,COREPROTEC
2010-12-01,COREPROTEC
2010-12-02,COREPROTEC
2010-12-02,ORCHIDCHEM
2010-12-03,COREPROTEC
2010-12-03,ORCHIDCHEM
2010-12-06,SCI
2010-12-06,COREPROTEC
2010-12-06,ORCHIDCHEM
2010-12-07,KFA
2010-12-07,SCI
2010-12-07,COREPROTEC
2010-12-08,ISPATIND
2010-12-08,SCI
2010-12-08,KFA
2010-12-09,ISPATIND
2010-12-09,KFA
2010-12-09,SCI
2010-12-10,SCI
2010-12-10,ISPATIND
2010-12-13,ISPATIND
2010-12-13,SCI
2010-12-14,ISPATIND
2010-12-14,SCI
2010-12-15,SCI
2010-12-20,COREPROTEC
2010-12-21,ISPATIND
2010-12-21,COREPROTEC
2010-12-21,KFA
2010-12-22,ISPATIND
2010-12-22,KFA
2010-12-22,COREPROTEC
2010-12-23,COREPROTEC
2010-12-23,KFA
2010-12-24,COREPROTEC
2010-12-24,KFA
2010-12-24,SUZLON
2010-12-27,SUZLON
2010-12-27,KFA
2010-12-27,ABGSHIP
2010-12-27,COREPROTEC
2010-12-28,KFA
2010-12-28,SUZLON
2010-12-28,COREPROTEC
2010-12-28,ABGSHIP
2010-12-29,SUZLON
2010-12-29,ORCHIDCHEM
2010-12-29,KFA
2010-12-29,COREPROTEC
2010-12-29,ABGSHIP
2010-12-30,ORCHIDCHEM
2010-12-30,KFA
2010-12-30,COREPROTEC
2010-12-30,ABGSHIP
2011-01-06,KFA
2011-01-07,KFA
2011-01-10,KFA
2011-01-11,KFA
2011-01-11,ORCHIDCHEM
2011-01-12,ORCHIDCHEM
2011-01-12,KFA
2011-01-13,KFA
2011-01-14,CHAMBLFERT
2011-01-14,KFA
2011-01-17,KFA
2011-01-17,CHAMBLFERT
2011-01-18,CHAMBLFERT
2011-01-18,KFA
2011-01-19,ORCHIDCHEM
2011-01-19,CHAMBLFERT
2011-01-19,KFA
2011-01-20,KFA
2011-01-20,CHAMBLFERT
2011-01-20,ORCHIDCHEM
2011-01-21,KFA
2011-01-21,VIDEOIND
2011-01-21,SUZLON
2011-01-24,SUZLON
2011-01-24,VIDEOIND
2011-01-25,SUZLON
2011-01-25,VIDEOIND
2011-01-27,VIDEOIND
2011-01-28,VIDEOIND
2011-01-31,VIDEOIND
2011-02-08,KFA
2011-02-08,ORCHIDCHEM
2011-02-09,KFA
2011-02-09,ORCHIDCHEM
2011-02-10,KFA
2011-02-10,ORCHIDCHEM
2011-02-11,KFA
2011-02-14,KFA
2011-02-15,KFA
2011-02-16,KFA
2011-02-17,KFA
2011-02-17,ORCHIDCHEM
2011-02-18,KFA
2011-02-18,ORCHIDCHEM
2011-02-21,ORCHIDCHEM
2011-02-21,VIDEOIND
2011-02-21,KFA
2011-02-22,KFA
2011-02-22,VIDEOIND
2011-02-23,KFA
2011-02-23,VIDEOIND
2011-02-24,VIDEOIND
2011-02-25,VIDEOIND
2011-02-28,VIDEOIND
2011-03-01,VIDEOIND
2011-03-03,VIDEOIND
2011-03-04,VIDEOIND
2011-03-07,VIDEOIND
2011-03-08,ORCHIDCHEM
2011-03-09,ORCHIDCHEM
2011-03-10,ORCHIDCHEM
2011-03-15,SUZLON
2011-03-16,SUZLON
2011-03-17,SUZLON
2011-03-17,ORCHIDCHEM
2011-03-18,ORCHIDCHEM
2011-03-18,SUZLON
2011-03-21,ORCHIDCHEM
2011-03-21,SUZLON
2011-03-22,VIDEOIND
2011-03-22,SUZLON
2011-03-22,ORCHIDCHEM
2011-03-23,VIDEOIND
2011-03-23,SUZLON
2011-03-23,ORCHIDCHEM
2011-03-24,SUZLON
2011-03-24,ORCHIDCHEM
2011-03-24,KFA
2011-03-24,VIDEOIND
2011-03-25,VIDEOIND
2011-03-25,SUZLON
2011-03-25,KFA
2011-03-28,KFA
2011-03-28,VIDEOIND
2011-03-28,SUZLON
2011-03-29,SUZLON
2011-03-29,VIDEOIND
2011-03-29,KFA
2011-03-29,BRFL
2011-03-30,VIDEOIND
2011-03-30,DCHL
2011-03-30,SUZLON
2011-03-30,BRFL
2011-03-30,KFA
2011-03-31,VIDEOIND
2011-03-31,SUZLON
2011-03-31,KFA
2011-03-31,IFCI
2011-03-31,DCHL
2011-03-31,BRFL
2011-04-06,SUZLON
2011-04-06,KFA
2011-04-07,DCHL
2011-04-07,KFA
2011-04-07,SUZLON
2011-04-08,KFA
2011-04-08,SUZLON
2011-04-08,DCHL
2011-04-11,DCHL
2011-04-11,SUZLON
2011-04-11,KFA
2011-04-13,VIDEOIND
2011-04-13,SUZLON
2011-04-13,KFA
2011-04-13,DCHL
2011-04-15,SUZLON
2011-04-15,VIDEOIND
2011-04-15,KFA
2011-04-15,DCHL
2011-04-18,DCHL
2011-04-18,KFA
2011-04-18,SUZLON
2011-04-18,VIDEOIND
2011-04-19,DCHL
2011-04-19,VIDEOIND
2011-04-19,KFA
2011-04-19,SUZLON
2011-04-20,ORCHIDCHEM
2011-04-20,KFA
2011-04-20,VIDEOIND
2011-04-20,DCHL
2011-04-21,VIDEOIND
2011-04-21,DCHL
2011-04-21,ORCHIDCHEM
2011-04-25,ORCHIDCHEM
2011-04-25,ALOKTEXT
2011-04-25,SUZLON
2011-04-25,VIDEOIND
2011-04-26,SUZLON
2011-04-26,ORCHIDCHEM
2011-04-26,ALOKTEXT
2011-04-26,KFA
2011-04-26,VIDEOIND
2011-04-27,KFA
2011-04-27,VIDEOIND
2011-04-27,ALOKTEXT
2011-04-28,KFA
2011-04-28,ALOKTEXT
2011-04-28,ORCHIDCHEM
2011-04-28,VIDEOIND
2011-04-29,VIDEOIND
2011-04-29,KFA
2011-05-02,KFA
2011-05-02,VIDEOIND
2011-05-11,PFC
2011-05-12,PFC
2011-05-12,ORCHIDCHEM
2011-05-13,DCHL
2011-05-13,ORCHIDCHEM
2011-05-13,PFC
2011-05-16,DCHL
2011-05-16,PFC
2011-05-16,ORCHIDCHEM
2011-05-17,ORCHIDCHEM
2011-05-17,PFC
2011-05-17,DCHL
2011-05-18,PFC
2011-05-18,DCHL
2011-05-19,PFC
2011-05-19,PUNJLLOYD
2011-05-19,DCHL
2011-05-20,PUNJLLOYD
2011-05-20,DCHL
2011-05-20,ORCHIDCHEM
2011-05-20,PFC
2011-05-23,DCHL
2011-05-23,PUNJLLOYD
2011-05-23,PFC
2011-05-23,ORCHIDCHEM
2011-05-24,DCHL
2011-05-24,ORCHIDCHEM
2011-05-24,PFC
2011-05-24,PUNJLLOYD
2011-05-25,PFC
2011-05-25,ORCHIDCHEM
2011-05-25,DCHL
2011-05-25,PUNJLLOYD
2011-05-26,DCHL
2011-05-26,PFC
2011-05-26,ORCHIDCHEM
2011-05-27,DCHL
2011-05-30,DCHL
2011-05-31,DCHL
2011-06-01,DCHL
2011-06-02,DCHL
2011-06-03,DCHL
2011-06-06,DCHL
2011-06-07,DCHL
2011-06-08,KSOILS
2011-06-08,DCHL
